职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
数据分析师,1万-2万,上海,不限,硕士,"['数据分析', '数据挖掘', '数据建模', 'SQL', 'Python']",好人生(上海)健康科技有限公司,民营 ,20-99人 
数据分析师,1.2万-1.7万,上海-徐汇区,1-3年,本科,"['Python', 'Tableau', '描述统计', 'R', 'Excel', 'Power-BI']",西安万兴服务外包有限责任公司, ,20-99人 
数据分析专员,7千-9千,上海,1-3年,本科,['数据分析'],上海乔治白实业有限公司,上市公司 ,100-299人 
数据分析师,2万-3万,上海-杨浦区,不限,本科,"['Python', 'SQL', '回归分析', '方差分析']",上海八客信息科技有限公司,民营 ,1000-9999人 
数据分析师,1.4万-2万,上海-宝山区,1-3年,本科,"['SQL', 'Python', 'Pandas', '决策树', 'SVM RNN', '神经网络', '传统算法模型', '数据建模']",成都奋途商贸有限公司,民营 ,100-299人 
data scientist（数据分析）,1.9万-2.2万,上海-浦东新区,1-3年,本科,['Python'],宜通华瑞,民营 ,1000-9999人 
销售数据分析Contingent Business Support,1.5万-2万,上海-黄浦区,1-3年,本科,"['Power BI', '制药/医疗', '数据分析']",科锐国际,合资 ,1000-9999人 
Data Analysis数据分析专员,8千-1万,上海-长宁区,1-3年,本科,"['数据分析', '销售业务数据']",上海柏迦科技有限公司,合资 ,100-299人 
数据分析助理经理(J12409),1万-1.6万,上海-长宁区,5-10年,本科,"['数据分析', '销售业务数据']",广州市斯凯奇商业有限公司,外商独资 ,500-999人 
数据分析JC,2.5万-5万,上海,3-5年,本科,"['数据分析', '数据集市', '需求分析', 'SQL']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 
销售数据分析（上海）,7千-9千,上海-长宁区,不限,本科,['数据分析'],北京腾龙时代通信技术有限责任公司,民营 ,20-99人 
大数据分析工程师,1.3万-2.5万,上海,1-3年,本科,"['SQL', 'Python']",上海市新能源汽车公共数据采集与监测研究中心,社会团体 ,20-99人 
数据分析（银行、早九晚五）,2万-3万,上海-浦东新区,5-10年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', 'SAS']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
数据分析师XK,2.5万-5万,上海,3-5年,本科,['数据分析'],中邮邮惠万家银行有限责任公司,国企 ,100-299人 
数据分析师+互联网运营+带薪培训+保障薪资8K,8千-1.6万,上海-杨浦区,不限,本科,"['决策树', '相关分析', '参数检验', '方差分析', '效度分析', '聚类分析', '因子分析']",上海链家地产,民营 ,10000人以上 
系统分析岗（数据仓库）,1万-2万,上海-浦东新区,1-3年,本科,"['数据仓库', '需求分析', '模型设计', 'SQL']",国华人寿,股份制企业 ,1000-9999人 
数据分析师(J10899),1.8万-2.5万,上海-静安区,3-5年,本科,"['数据分析', '金融', '证券从业资格证', 'Python', 'SQL', '证券数据分析', 'R']",光大证券,上市公司 ,1000-9999人 
