base_score,[480.63106625]
age,Score
"(-inf, 36.0]",-4.552283660259392
"(36.0, 52.0]",-2.5191709082604223
"(52.0, 61.0]",1.4280781088846914
"(61.0, 74.0]",8.385505773675835
"(74.0, inf]",15.338303867597974
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0993]",35.826506788480415
"(0.0993, 0.383]",8.067036753793456
"(0.383, 0.729]",-10.415554379198333
"(0.729, 0.987]",-21.711079903485277
"(0.987, 1.0]",-7.735972766436078
"(1.0, inf]",-32.97308348592843
DebtRatio,Score
"(-inf, 0.0132]",25.38503375737655
"(0.0132, 0.356]",1.3872574892667968
"(0.356, 1.484]",-6.569682388081331
"(1.484, inf]",3.066734989336373
MonthlyIncome,Score
"(-inf, 0.11]",14.127144682921397
"(0.11, 5550.0]",-2.5235131136137223
"(5550.0, inf]",2.484206300679678
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-11.022400453230738
"(1.0, 3.0]",-3.796831576977096
"(3.0, 5.0]",-0.6661027953317001
"(5.0, 17.0]",1.6825498928874396
"(17.0, inf]",5.839004049439329
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",20.508156967159422
"(0.0, 1.0]",-26.513722268530678
"(1.0, 2.0]",-38.90572465361605
"(2.0, inf]",-43.24672510586597
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",12.406987328845744
"(0.0, 1.0]",-46.04900004652665
"(1.0, 2.0]",-54.45623352428449
"(2.0, inf]",-56.55750319222236
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-7.76545466820602
"(0.0, 1.0]",4.020443448064753
"(1.0, 2.0]",12.408871503185454
"(2.0, 4.0]",7.581647552597638
"(4.0, inf]",-6.730981177036084
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",8.083315199218887
"(0.0, 1.0]",-37.25980885164988
"(1.0, 2.0]",-45.42831299391285
"(2.0, inf]",-43.583104600045935
NumberOfDependents,Score
"(-inf, 0.0]",13.074802060970576
"(0.0, 1.0]",-12.203315002192845
"(1.0, 2.0]",-11.131209626298066
"(2.0, inf]",-10.154208334752969
