iter	Passed	Remaining
0	163	163152
1	177	88474
2	191	63758
3	203	50728
4	216	43027
5	231	38274
6	244	34718
7	261	32406
8	274	30255
9	293	29078
10	308	27714
11	318	26198
12	331	25137
13	348	24529
14	362	23782
15	379	23355
16	392	22684
17	405	22113
18	417	21539
19	431	21135
20	446	20835
21	462	20578
22	479	20349
23	497	20214
24	510	19902
25	522	19568
26	534	19269
27	547	18996
28	560	18777
29	575	18599
30	591	18477
31	607	18372
32	621	18219
33	634	18038
34	651	17956
35	664	17783
36	674	17564
37	687	17397
38	697	17197
39	712	17089
40	728	17037
41	741	16920
42	758	16873
43	776	16862
44	791	16802
45	803	16663
46	816	16565
47	833	16527
48	846	16434
49	867	16481
50	879	16357
51	891	16255
52	906	16199
53	917	16069
54	926	15921
55	940	15856
56	953	15780
57	968	15737
58	979	15616
59	994	15578
60	1016	15640
61	1025	15509662	1038	15448663	1053	15411664	1069	15378665	1083	15329666	1098	1529967	1117	15312
68	1130	15250
69	1153	15321
70	1168	15295
71	1184	15262
72	1198	15217
73	1211	15160
74	1229	15169
75	1243	15123
76	1263	15150
77	1277	15104
78	1293	15084
79	1307	15033
80	1318	14958
81	1330	14897
82	1342	14829
83	1353	14754
84	1363	14681
85	1387	14742
86	1402	14716
887	1417	14694888	1433	14675889	1456	14729990	1473	14714991	1490	14708
92	1507	14701
93	1522	14674
94	1536	14640
95	1557	14665
96	1571	14628
97	1585	14592
98	1600	14564
99	1617	14557
100	1634	14549
101	1648	14509
102	1668	14530
103	1688	14549
104	1717	14637
105	1735	14641
106	1748	14596
107	1762	14558
108	1775	14513
109	1786	14457
110	1800	14419
111	1813	14380
112	1829	14358
113	1843	14324
114	1854	14274
115	1868	14237
116	1882	14208
117	1898	14194
118	1911	14150
119	1922	14101
120	1934	14049
121	1945	14000
122	1957	13954
123	1968	13907
124	1980	13866
125	1992	13823
126	2003	13769
127	2016	13740
128	2032	13726
129	2049	13717
130	2063	13685
131	2078	13670
132	2092	13642
133	2103	13594
134	2117	13570
135	2130	13533
136	2147	13528
137	2165	13523
138	2179	13500
139	2193	13474
