iter	Logloss
0	0.6834089756
1	0.6711758375
2	0.6624593735
3	0.6324583292
4	0.6219046116
5	0.613830924
6	0.6062377095
7	0.5990929008
8	0.5921211243
9	0.5834746361
10	0.575229466
11	0.5673643351
12	0.5616733432
13	0.5544257164
14	0.5493021011
15	0.5426090956
16	0.5362143517
17	0.5301021338
18	0.5258779526
19	0.521884799
20	0.5163881779
21	0.5127703547
22	0.5093449354
23	0.5060998201
24	0.5030235052
25	0.5001051426
26	0.4973349869
27	0.4947036505
28	0.4902951419
29	0.4860690832
30	0.4837517142
31	0.4815463126
32	0.4621101916
33	0.4601368308
34	0.4582540393
35	0.454714179
36	0.4513150454
37	0.4480498433
38	0.4449117184
39	0.4433411956
40	0.4403730631
41	0.43751809
42	0.4204757214
43	0.4178802073
44	0.4165903926
45	0.4141277373
46	0.4117895663
47	0.4095082283
48	0.407307446
49	0.406183213
50	0.3907990754
51	0.3888193667
52	0.3869071007
53	0.3850592375
54	0.3841177821
55	0.3832128644
56	0.381473124
57	0.367377907
58	0.3665710986
59	0.3649964929
60	0.3634725213
61	0.3619970083
62	0.3489073813
63	0.3482175171
64	0.3468768597
65	0.3455774188
66	0.3443173468
67	0.3436944783
68	0.3424854875
69	0.3418964744
70	0.3407355249
71	0.3396087885
72	0.3385148048
73	0.3374610841
74	0.3369253278
75	0.3359077573
76	0.3349185586
77	0.333956629
78	0.3222286403
79	0.3213396668
80	0.3102559447
81	0.3094324172
82	0.309001416
83	0.2985346913
84	0.2981333733
85	0.2977438569
86	0.2969999909
87	0.2962751687
88	0.2864251435
89	0.2857506871
90	0.2850930393
91	0.2844514847
92	0.2838252783
93	0.2834951282
94	0.2828890085
95	0.282297194
96	0.2817192674
97	0.2725487947
98	0.2720090747
99	0.2717180252
100	0.2714346945
101	0.2709154785
102	0.2704079151
103	0.2699116766
104	0.2694263458
105	0.2608243823
106	0.2603699863
107	0.2599251866
108	0.2596800327
109	0.2594412565
110	0.2590121031
111	0.2585919797
112	0.2581804991
113	0.2500920296
114	0.2498752922
115	0.2421796322
116	0.2419746369
117	0.2417743802
118	0.2415786684
119	0.2413873672
120	0.2412002981
121	0.2408434302
122	0.240493983
123	0.2401516289
124	0.2399745733
125	0.2396410853
126	0.2323892713
127	0.2322226167
128	0.2319102734
129	0.2316040695
130	0.2314443141
131	0.2312878966
132	0.2311345935
133	0.2308389693
134	0.2305492908
135	0.2304020971
136	0.2301193774
137	0.2298419625
138	0.2295699865
139	0.2292984724
140	0.2290380448
141	0.2288978845
142	0.2220968306
143	0.2218520045
144	0.221719861
145	0.2215904593
146	0.22135216
147	0.2211182117
148	0.220993489
149	0.2207645178
150	0.2143180072
151	0.214098841
152	0.2138871849
153	0.2137691677
154	0.2135619819
155	0.2074321508
156	0.2073204517
157	0.2071248293
158	0.2069323361
159	0.2067429423
160	0.206635952
161	0.2064503133
162	0.2062675655
163	0.20616436
164	0.2059851885
165	0.2058846205
166	0.2057089806
167	0.2055360973
168	0.2053657472
169	0.2052692175
170	0.2051022053
171	0.1993177235
172	0.1991588473
173	0.1936357319
174	0.1935469359
175	0.1933962554
176	0.1881215572
177	0.188037008
178	0.1878939867
179	0.1877529323
180	0.1876709908
181	0.1875326037
182	0.1873961389
183	0.1873165667
184	0.1871825457
185	0.187105
186	0.1869732291
187	0.1819577366
188	0.1818835586
189	0.1817582846
190	0.1816346645
191	0.1815127879
192	0.1767236888
193	0.1766535789
194	0.1720682085
195	0.1676743478
196	0.1675648987
197	0.1674990654
198	0.1673914492
199	0.1673270911
200	0.1672196388
201	0.1671159416
202	0.1670135558
203	0.16281721
204	0.1627188921
205	0.1626218259
206	0.1625259221
207	0.1624312103
208	0.162337482
209	0.1622772813
210	0.1622179449
211	0.1621595621
212	0.1581498981
213	0.1580934525
214	0.1580047011
215	0.1579177976
216	0.1578316242
217	0.1539907157
218	0.1539077759
219	0.1538257897
220	0.1537719518
221	0.1500889808
222	0.1500102878
223	0.1499323696
224	0.1463980079
225	0.1463227868
226	0.1462484598
227	0.1461986303
228	0.1461253762
229	0.1460560709
230	0.1426665187
231	0.1425968558
232	0.1425485164
233	0.1392916441
234	0.139224574
235	0.1360928118
236	0.1360278577
237	0.1359636784
238	0.1329521239
239	0.132907778
240	0.1328487545
241	0.132792294
242	0.1327320337
243	0.1326875687
244	0.1326280087
245	0.1297344267
246	0.1296820939
247	0.1268954426
248	0.1268529147
249	0.126797393
250	0.1267423034
251	0.1266877651
252	0.1266337633
253	0.1265799999
254	0.126526773
255	0.1264740378
256	0.1264217645
257	0.1263699532
258	0.1236942708
259	0.1211144105
260	0.1210760847
261	0.1210381761
262	0.1209941357
263	0.118507646
264	0.1184705645
265	0.1184233576
266	0.1183870062
267	0.1159895137
268	0.1159480661
269	0.1159027368
270	0.1158577949
271	0.1158189625
272	0.1157832369
273	0.1157455742
274	0.1157021001
275	0.1156667322
276	0.1156320423
277	0.1155953929
278	0.1155528873
279	0.1132455319
280	0.1110170484
281	0.1109836549
282	0.1088311225
283	0.1067504212
284	0.1067113951
285	0.1047001928
286	0.1046619862
287	0.1046242416
288	0.1045865864
289	0.1045545936
290	0.1045175567
291	0.104486838
292	0.1044503227
293	0.1044139341
294	0.1043779552
295	0.1043421701
296	0.104306668
297	0.1042770743
298	0.1042419448
299	0.1023033932
300	0.1022690758
301	0.1022348329
302	0.1022010148
303	0.1021674126
304	0.1021339446
305	0.1021008864
306	0.1020731479
307	0.1020458639
308	0.1020189673
309	0.1019863486
310	0.1019540653
311	0.1019218266
312	0.1018944681
313	0.1018680632
314	0.1018413752
315	0.09997217357
316	0.09994135797
317	0.09991072118
318	0.09988035262
319	0.09985031933
320	0.09982478619
321	0.09979972988
322	0.09977003932
323	0.09974049032
324	0.09971573204
325	0.09968653321
326	0.0996575579
327	0.09785268456
328	0.09782434255
329	0.09780015051
330	0.09605312347
331	0.09602542222
332	0.0960020721
333	0.09597924352
334	0.09595192969
335	0.09592935443
336	0.09590248764
337	0.09587563574
338	0.09585341811
339	0.09416368604
340	0.09414058924
341	0.09411858022
342	0.09409283847
343	0.09406715631
344	0.09404538572
345	0.09240920097
346	0.09238430858
347	0.09235946834
348	0.09233850986
349	0.09075315297
350	0.09072896838
351	0.09070859104
352	0.09068852663
353	0.09066449106
354	0.09064470232
355	0.09062097967
356	0.0890853852
357	0.08906212449
358	0.0890391022
359	0.08754998446
360	0.08753120899
361	0.08750861883
362	0.08748617768
