iter	Passed	Remaining
0	9	9317
1	16	8328
2	23	7654
3	29	7416
4	36	7317
5	43	7157
6	49	7032
7	55	6935
8	62	6849
9	69	6857
10	76	6855
11	83	6855
12	90	6904
13	100	7071
14	109	7187
15	118	7314
16	125	7266
17	132	7242
18	139	7191
19	145	7137
20	153	7140
21	159	7086
22	166	7057
23	173	7037
24	179	7011
25	186	6999
26	193	6971
27	200	6945
28	208	6982
29	217	7033
30	226	7076
31	234	7101
32	243	7141
33	253	7200
34	260	7176
35	266	7145
36	274	7131
37	280	7106
38	288	7106
39	295	7103
40	303	7095
41	310	7072
42	316	7047
43	324	7054
44	331	7036
45	339	7032
46	345	7008
47	353	7011
48	360	6996
49	367	6984
50	374	6976
51	381	6960
52	388	6943
53	395	6930
54	402	6909
55	408	6885
56	415	6871
57	422	6859
58	428	6838
59	435	6825
60	442	6812
61	449	6798
62	455	6780
63	462	6758
64	469	6749
65	475	6734
66	482	6721
67	489	6702
68	496	6697
69	502	6679
70	509	6668
71	516	6658
72	523	6649
73	530	6633
74	537	6627
75	546	6640
76	555	6655
77	564	6670
78	574	6693
79	583	6709
80	590	6697
81	597	6688
82	607	6714
83	617	6729
84	623	6716
85	630	6705
86	637	6692
87	644	6682
88	651	6670
89	658	6657
90	665	6645
91	671	6630
92	678	6620
93	685	6605
94	692	6595
95	699	6585
96	706	6572
97	712	6561
98	719	6551
99	726	6535
100	732	6523
101	739	6512
102	746	6500
103	753	6490
104	760	6481
105	767	6471
106	774	6462
107	781	6451
108	788	6443
109	794	6429
110	801	6421
111	808	6412
112	815	6404
113	822	6392
114	829	6382
115	837	6379
116	844	6369
117	851	6362
118	857	6350
119	864	6337
120	870	6324
121	877	6314
122	884	6305
123	891	6297
124	898	6291
125	906	6286
126	913	6277
127	919	6266
128	929	6275
129	936	6268
130	943	6255
131	949	6243
132	955	6230
133	962	6218
134	968	6208
135	975	6195
136	982	6187
137	989	6180
138	996	6170
139	1002	6157
140	1008	6146
141	1015	6136
142	1022	6127
143	1029	6118
144	1035	6106
145	1042	6097
146	1049	6088
147	1055	6078
148	1062	6067
149	1069	6059
150	1076	6050
151	1082	6038
152	1089	6030
153	1095	6020
154	1103	6015
155	1110	6006
156	1116	5996
157	1123	5987
158	1130	5977
159	1137	5970
160	1143	5960
161	1150	5951
162	1157	5942
163	1163	5931
164	1170	5922
165	1176	5912
166	1183	5904
167	1190	5897
168	1198	5891
169	1204	5881
170	1211	5872
171	1218	5863
172	1225	5857
173	1231	5848
174	1238	5837
175	1244	5828
176	1251	5819
177	1257	5808
178	1264	5801
179	1271	5792
180	1278	5783
181	1286	5782
182	1296	5788
183	1303	5780
184	1310	5773
185	1317	5764
186	1323	5755
187	1330	5747
188	1337	5738
189	1343	5728
190	1351	5723
191	1358	5716
192	1365	5707
193	1371	5697
194	1377	5688
195	1384	5679
196	1391	5669
197	1397	5660
198	1404	5653
199	1410	5642
200	1417	5633
201	1424	5627
202	1431	5621
203	1438	5613
204	1451	5630
205	1460	5629
206	1467	5622
207	1474	5615
208	1481	5607
209	1489	5601
210	1497	5598
211	1503	5589
212	1510	5581
213	1516	5571
214	1524	5564
215	1530	5555
216	1537	5547
217	1544	5539
218	1551	5532
219	1558	5524
220	1564	5514
221	1571	5505
222	1578	5498
223	1585	5491
224	1592	5484
225	1600	5480
226	1608	5478
227	1616	5473
228	1623	5465
229	1629	5456
230	1636	5448
231	1643	5441
232	1649	5431
233	1656	5423
234	1663	5415
235	1670	5406
236	1677	5399
237	1684	5392
238	1691	5384
239	1698	5377
240	1704	5368
241	1711	5359
242	1718	5353
243	1725	5346
244	1732	5338
245	1739	5331
246	1745	5322
247	1752	5314
248	1759	5306
249	1766	5300
250	1773	5291
251	1780	5285
252	1787	5278
253	1794	5271
254	1802	5264
255	1808	5257
256	1816	5250
257	1823	5243
258	1830	5236
259	1837	5228
260	1844	5222
261	1851	5215
262	1858	5208
263	1865	5202
264	1873	5195
265	1880	5189
266	1887	5181
267	1894	5173
268	1900	5164
269	1907	5157
270	1914	5150
271	1921	5142
272	1928	5134
273	1934	5126
274	1942	5120
275	1949	5112
276	1955	5104
277	1962	5096
278	1969	5088
279	1975	5081
280	1982	5073
281	1989	5065
282	1996	5057
283	2003	5049
284	2010	5043
285	2017	5035
286	2024	5028
287	2031	5022
288	2038	5016
289	2045	5007
290	2052	5000
291	2059	4993
292	2066	4987
293	2073	4980
294	2080	4972
295	2088	4966
296	2095	4959
297	2102	4952
298	2109	4946
299	2116	4939
300	2123	4931
301	2130	4924
302	2137	4917
303	2147	4917
304	2154	4910
305	2164	4908
306	2172	4903
307	2179	4896
308	2185	4888
309	2193	4881
310	2200	4875
311	2207	4868
312	2214	4859
313	2220	4851
314	2227	4843
315	2238	4845
316	2250	4849
317	2261	4850
318	2270	4847
319	2280	4846
320	2289	4843
321	2298	4839
322	2306	4835
323	2314	4828
324	2321	4822
325	2328	4814
326	2335	4807
327	2342	4799
328	2349	4792
329	2356	4785
330	2364	4778
331	2371	4770
332	2377	4762
333	2384	4755
334	2392	4749
335	2399	4741
336	2406	4734
337	2413	4727
338	2420	4718
339	2426	4710
340	2435	4706
341	2443	4701
342	2450	4694
343	2457	4686
344	2464	4678
345	2471	4671
346	2478	4664
347	2486	4658
348	2493	4651
349	2500	4643
350	2507	4636
351	2514	4628
352	2521	4621
353	2529	4615
354	2535	4606
355	2542	4600
356	2549	4592
357	2556	4584
358	2564	4578
359	2571	4570
360	2577	4562
361	2584	4555
362	2594	4553
363	2606	4553
364	2613	4546
365	2620	4538
366	2627	4531
367	2633	4523
368	2640	4515
369	2647	4508
370	2655	4501
371	2662	4494
372	2669	4487
373	2676	4480
374	2686	4477
375	2698	4478
376	2705	4471
377	2713	4464
378	2720	4457
379	2727	4450
380	2734	4442
381	2741	4435
382	2748	4427
383	2755	4419
384	2761	4411
385	2768	4404
386	2775	4396
387	2782	4388
388	2789	4381
389	2796	4373
390	2802	4365
391	2810	4358
392	2817	4351
393	2825	4345
394	2832	4338
395	2839	4330
396	2846	4322
