商品id,未来一周天均销量
【七月妈妈】山东红薯粉条500g*3袋,0
【李老板】爆款 俄罗斯风味国产紫皮糖每包158g 拍1发5包,0
45°帝王经典100ml五粮液股份有限公司出品,0
【伦哥专享】21新米 十月稻田 长粒香米  2.5kg*4袋,0
【自嗨锅】粉丝福利酥麻牛肉粉自热锅 86g,0
【池妈专属】池妈@鸭脖60g/根 原味or香辣79.9元/8根,0
【宠粉款】大号葡式蛋挞皮90个 欣乐家庭烘培（1800g）,0
晟迪180g*2袋 香辣孜然三角骨 冷冻保存 顺丰包邮,0
火锅宽粉重庆佳仙锅主火锅粉100g袋红薯粉苕皮火锅食材,0
海天味业零添加玉米胚芽油4.9L*2近20斤纯油年货礼包,0
（自播链接）牛栏山小百年45度浓香型固态法纯粮酒255ml单瓶白酒,0
优本味 吮指小麻花 牛肉味 400g/箱,0
养氛白芸豆黑咖啡0脂肪速溶黑咖啡(2g*10袋)/盒,0
【买一送一】比比赞蛋黄酥300g送300g,0
[北京顺丰] 【2箱】特仑苏纯牛奶250ml*16包*2箱,0
Ayibo/阿一波冻干银耳羹 红枣 枸杞 15g*6包/盒 速食冲泡即食免煮,0
卡贺家 巧克力の小黑饼400g/箱 巧克力味饼干休闲零食品早餐饼干,0
老式传统糕点羊角蜜果子蜜糖角70、80后儿时的回忆500g,0
【文哥专享】娃哈哈经典AD钙奶220g*20瓶*1箱,0
红豆家海苔卷   连云港发货   海苔肉松卷  100克,0
【依宿山】菊花枸杞茶决明子金银花组合  120g/盒   A1 ,0
奶香味3包+焦糖味2包 三合一球形爆米花组合 有糖油玉米 200克/包,0
【憨豆熊】巴旦木250g500g扁桃大杏仁坚果手剥巴达木零食,0
【主播严选】宛若新生羽衣甘蓝粉粉果蔬汁粉绿叶菜 5g*12袋/盒,0
重庆火锅底料牛油小方块50g个人小火锅炒菜调料,0
带衣烘焙腰果仁盐焗大颗粒坚果休闲零食大罐装净含量500g,0
李子柒螺蛳粉广西特产柳州螺蛳粉335g*4袋,0
神宫【主播推荐 】爆辣泡椒*金汤肥牛*河粉牛骨汤底6桶装整箱,0
【粉丝福利】皇冠世家曲奇饼干72G,0
【小贝专享】辛拉面香菇牛肉+辣白菜120g*5*2袋装方便面,0
【洽洽】洽洽经典红袋香瓜子26g*10袋超值福利——DB,0
（旗舰）甘源【囤货大礼包】核桃腰果炒米坚果炒货组合23包,0
【8包装】330g萱宝家柳州螺蛳粉袋装速食广西螺丝粉特产粉丝XCM,0
【叮叮懒人菜】虾饼160g*3袋 果蔬鲜虾饼半成品快手菜速冻菜肴,0
【主播专属】咸蛋黄酥千层酥糕点零食饼干1盒,0
