商品id,时间,总销量,浏览量,抖音转化率,视频个数,直播个数,直播销量,视频销量,视频达人,直播达人
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-08 16:00:00,270,4046,0.06673257538309442,0,72,264,6,19,47
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-09 16:00:00,207,2455,0.08431771894093687,0,77,207,0,23,50
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-10 16:00:00,415,6574,0.06312747185883785,0,85,415,0,17,54
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-11 16:00:00,356,0,0.0,1,80,356,0,0,49
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-12 16:00:00,203,2835,0.07160493827160494,0,67,184,19,19,43
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-13 16:00:00,227,3419,0.06639368236326411,1,76,227,0,15,50
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-14 16:00:00,904,5518,0.16382747372236314,1,80,904,0,10,60
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-15 16:00:00,246,0,0.0,0,84,246,0,0,54
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-16 16:00:00,215,0,0.0,0,77,215,0,0,49
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-17 16:00:00,105,0,0.0,0,60,67,38,0,42
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-18 16:00:00,330,0,0.0,0,71,330,0,0,50
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-19 16:00:00,148,0,0.0,0,83,148,0,0,55
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-20 16:00:00,237,0,0.0,0,94,207,30,0,57
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-21 16:00:00,243,0,0.0,0,92,233,10,0,51
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-22 16:00:00,265,0,0.0,0,81,265,0,0,51
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-23 16:00:00,217,3178,0.06828193832599119,0,69,217,0,4,43
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,2021-07-24 16:00:00,421,0,0.0,0,67,410,11,0,40
