iter	Passed	Remaining
0	181	181017
1	184	92068
2	187	62194
3	191	47687
4	194	38760
5	198	32912
6	202	28789
7	207	25720
8	210	23135
9	212	21038
10	215	19360
11	218	17971
12	221	16786
13	225	15877
14	228	15000
15	231	14245
16	234	13562
17	237	12973
18	241	12453
19	244	11959
20	247	11521
21	250	11129
22	253	10775
23	257	10459
24	260	10149
25	263	9864
26	266	9597
27	269	9353
28	272	9125
29	275	8906
30	278	8703
31	281	8528
32	284	8347
33	288	8208
34	292	8053
35	295	7914
36	299	7783
37	302	7664
38	305	7536
39	309	7421
40	312	7314
41	315	7206
42	319	7100
43	321	6994
44	325	6897
45	328	6807
46	331	6726
47	338	6714
48	343	6672
49	350	6660
50	355	6607
51	359	6550
52	364	6510
53	370	6492
54	376	6468
55	382	6450
56	386	6391
57	389	6326
58	392	6265
59	396	6207
60	399	6149
61	402	6096
62	406	6042
63	409	5995
64	414	5961
65	418	5924
66	423	5899
67	430	5895
68	437	5905
69	441	5870
70	445	5831
71	451	5816
72	454	5771
73	458	5732
74	461	5690
75	465	5663
76	469	5624
77	473	5594
78	477	5564
79	480	5530
80	485	5503
81	489	5477
82	493	5450
83	498	5432
84	502	5404
85	507	5392
86	511	5368
87	516	5351
88	524	5367
89	530	5359
90	534	5335
91	539	5320
92	545	5316
93	551	5314
94	556	5305
95	563	5302
96	567	5283
97	575	5300
98	582	5297
99	588	5298
100	595	5303
101	600	5283
102	605	5274
103	608	5242
104	611	5214
105	614	5184
106	617	5155
107	620	5127
108	62109	630109	62110	636	5095
111	643	5098
112	646	5072
113	650	5054
114	653	5029
115	656	5005
116	660	4982
117	663	4958
118	666	4934
119	671	4923
120	676	4915
121	682	4914
122	687	4902
123	694	4904
124	699	4898
125	704	4887
126	710	4883
127	713	4861
128	716	4839
129	720	4819
130	723	4796
131	726	4776
132	729	4757
133	733	4738
134	736	4720
135	739	4699
136	743	4682
137	746137	74138	749138	74139	753139	75140	756140	75141	759141	760	4593
142	763	4575
143	768	4571
144	777	4587
145	783	4581
146	787	4569
147	792	4560
148	796	4546
149	800	4536
150	805	4526
151	809	4517
152	815	4512
153	821	4511
154	825	4500
155	829	4486
156	833	4474
157	837	4462
158	841	4450
159	845	4437
160	850	4433
161	861	4458
162	868	4457
163	873	4451
164	878	4444
165	882	4434
166	886	4423
167	892	4417
168	897	4415
169	902	4406
170	907	4399
171	912	4393
172	917	4388
173	922	4380
174	928	4375
175	933	4371
176	937	4359
177	941	4346
178	945	4335
179	948	4322
180	956	4325
181	959	4312
182	963	4302
183	968	4293
184	972	4285
185	977	4277
186	982	4270
187	987	4264
188	991	4252
189	996	4250
190	1002	4248
191	1006	4236
192	1013	4237
193	1020	4238
194	1023	4225
195	1027	4214
196	1031	4203
197	1035	4193
198	1038	4180
199	1042	4168
200	1045	4157
201	1050	4149
202	1053	4135
203	1056	4122
204	1059	4110
205	1063	4100
206	1068	4094
207	1073	4088
208	1078	4081
209	1083	4076
210	1089	4072
211	1094	4066
212	1099	4062
213	1103	4053
214	1108	4047
215	1112	4037
216	1117	4034
217	1122	4027
218	1127	4020
219	1133	4017
220	1136	4006
221	1140	3997
222	1144	3986
223	1149	3980
224	1152	3969
225	1156	3960
226	1160	3950
227	1165	3945
228	1168	3933
229	1171	3923
230	1175	3914
231	1179	3903
232	1183	3895
233	1189	3895
234	1194	3888
235	1199	3883
236	1202	3872
237	1206	3862
238	1210	3853
239	1215	3849
240	1218	3838
241	1222	3828
242	1225	3816
243	1228	3806
244	1231	3794
245	1234	3783
246	1237	3772
247	1240	3761
248	1243	3750
249	1246	3740
250	1249	3728
251	1252	3718
252	1255	3708
253	1261	3704
254	1264	3694
255	1267	3684
256	1271	3675
257	1274	3666
258	1278	3658
259	1281	3648
260	1285	3639
261	1288	3630
262	1292	3620
263	1295	3612
264	1300	3605
265	1306	3604
266	1311	3600
267	1316	3594
268	1320	3589
269	1325	3584
270	1330	3577
271	1339	3584
272	1345	3582
273	1351	3580
274	1358	3581
275	1363	3575
276	1369	3574
277	1373	3567
278	1377	3560
279	1382	3554
280	1386	3547
281	1391	3542
282	1396	3539
283	1403	3538
284	1409	3535
285	1412	3525
286	1417	3521
287	1422	3515
288	1429	3516
289	1436	3517
290	1442	3514
291	1446	3507
292	1450	3500
293	1453	3491
294	1459	3486
295	1462	3477
296	1468	3476
297	1474	3473
298	1478	3467
299	1483	3461
300	1489	3458
301	1494	3453
302	1500	3452
303	1505	3447
304	1509	3439
305	1516	3438
306	1522	3436
307	1525	3428
308	1529	3419
309	1533	3413
310	1538	3408
311	1541	3398
312	1545	3392
313	1549	3384
314	1553	3378
315	1557	3370
316	1560	3362
317	1564	3356
318	1570	3352
319	1574	3344
320	1577	3337
321	1583	3333
322	1588	3329
323	1592	3323
324	1598	3320
325	1604	3317
326	1607	3309
327	1613	3306
328	1618	3301
329	1621	3292
330	1625	3285
331	1628	3276
332	1635	3274
333	1640	3270
334	1646	3268
335	1652	3265
336	1656	3258
337	1665	3261
338	1670	3256
339	1674	3250
340	1678	3243
341	1682	3237
342	1686	3230
343	1691	3225
344	1695	3218
345	1702	3218
346	1707	3213
347	1712	3208
348	1717	3204
349	1722	3198
350	1726	3191
351	1733	3190
352	1743	3195
353	1749	3192
354	1752	3184
355	1756	3176
356	1760	3170
357	1766	3167
358	1770	3160
359	1775	3156
360	1781	3153
361	1785	3147
362	1791	3144
363	1798	3141
364	1801	3134
365	1806	3129
366	1814	3128
367	1818	3122
368	1824	3119
369	1830	3116
370	1833	3108
371	1836	3099
372	1839	3092
373	1846	3090
374	1849	3082
375	1853	3075
376	1858	3070
377	1863	3066
378	1867	3059
379	1873	3056
380	1880	3054
381	1884	3048
382	1890	3045
383	1896	3041
384	1901	3037
385	1906	3032
386	1912	3029
387	1916	3022
388	1919	3015
389	1923	3008
390	1926	3000
391	1929	2992
392	1932	2985
393	1935	2977
394	1939	2970
395	1942	2962
396	1945	2955
397	1948	2947
398	1952	2940
399	1955	2933
400	1959	2927
401	1964	2922
402	1969	2917
403	1974	2913
404	1980	2909
405	1985	2905
406	1989	2898
407	1993	2892
408	1996	2885
409	2000	2878
410	2004	2872
411	2009	2867
412	2013	2861
413	2017	2856
414	2023	2852
415	2027	2846
416	2033	2842
417	2038	2838
418	2043	2833
419	2046	2826
420	2051	2821
421	2055	2815
422	2060	2810
423	2065	2806
424	2069	2800
425	2074	2794
426	2079	2790
427	2085	2786
428	2090	2782
429	2093	2774
430	2096	2768
431	2099	2761
432	2103	2753
433	2107	2748
434	2110	2740
435	2113	2733
436	2116	2727
437	2120	2720
438	2124	2714
439	2127	2708
440	2131	2701
441	2134	2694
442	2137	2687
443	2141	2681
444	2144	2675
445	2148	2668
446	2151	2661
447	2154	2654
448	2157	2647
449	2162	2643
450	2169	2641
451	2174	2635
452	2179	2631
453	2182	2624
454	2188	2621
455	2191	2614
456	2195	2608
457	2199	2602
458	2203	2597
459	2206	2590
460	2210	2584
461	2216	2580
462	2221	2576
463	2225	2570
464	2231	2567
465	2238	2564
466	2242	2559
467	2246	2553
468	2249	2547
469	2253	2541
470	2256	2534
471	2260	2528
472	2263	2522
473	2267	2516
474	2270	2509
475	2274	2503
476	2277	2497
477	2280	2490
478	2284	2484
479	2287	2478
480	2290	2471
481	2294	2465
482	2297	2459
483	2300	2452
484	2303	2446
485	2306	2439
486	2309	2433
487	2312	2426
488	2315	2419
489	2319	2413
490	2322	2407
491	2324	2400
492	2328	2394
493	2336	2393
494	2343	2390
495	2349	2387
496	2353	2381
497	2356	2375
498	2362	2371
499	2366	2366
500	2369	2360
501	2373	2354
502	2378	2350
503	2383	2346
504	2388	2341
505	2392	2335
506	2395	2329
507	2398	2323
508	2401	2316
509	2404	2310
510	2407	2303
511	2410	2297
512	2414	2291
513	2417	2285
514	2423	2281
515	2428	2277
516	2434	2274
517	2440	2271
518	2447	2267
519	2450	2261
520	2453	2255
521	2457	2250
522	2461	2244
523	2466	2240
524	2471	2236
525	2478	2233
526	2482	2228
527	2485	2221
528	2489	2216
529	2494	2211
530	2498	2206
531	2502	2201
532	2506	2196
533	2513	2193
534	2516	2187
535	2519	2181
536	2524	2176
537	2530	2172
538	2534	2167
539	2539	2162
540	2543	2158
541	2547	2152
542	2551	2147
543	2555	2142
544	2560	2137
545	2566	2134
546	2570	2128
547	2573	2122
548	2578	2118
549	2581	2112
550	2585	2106
551	2588	2100
552	2594	2096
553	2597	2091
554	2604	2088
555	2611	2085
556	2614	2079
557	2621	2076
558	2625	2071
559	2628	2065
560	2631	2059
561	2635	2053
562	2638	2047
563	2641	2042
564	2644	2036
565	2648	2030
566	2651	2024
567	2654	2018
568	2658	2013
569	2661	2007
570	2664	2001
571	2667	1995
572	2670	1990
573	2673	1984
574	2676	1978
575	2679	1972
576	2682	1966
577	2685	1960
578	2689	1955
579	2692	1949
580	2695	1943
581	2698	1938
582	2706	1935
583	2709	1929
584	2712	1923
585	2715	1918
586	2718	1912
587	2721	1907
588	2725	1901
589	2728	1896
590	2732	1890
591	2735	1885
592	2738	1879
593	2741	1874
594	2746	1869
595	2749	1863
596	2755	1860
597	2759	1855
598	2763	1849
599	2768	1845
600	2773	1841
601	2779	1837
602	2784	1833
603	2788	1828
604	2792	1822
605	2795	1817
606	2798	1811
607	2803	1807
608	2806	1802
609	2810	1796
610	2813	1791
611	2818	1786
