iter	Passed	Remaining
0	63	638722
1	137	685063
2	198	660858
3	263	658185
4	343	686073
5	413	688520
6	487	696205
7	538	672860
8	617	685859
9	713	713207
10	817	742002
11	886	737825
12	957	735810
13	1027	733058
14	1098	730907
15	1170	730497
16	1245	731442
17	1317	730451
18	1386	728096
19	1453	725115
20	1523	724101
21	1582	717611
22	1652	716790
23	1726	717760
24	1802	719224
25	1875	719408
26	1939	716424
27	2008	715312
28	2075	713497
29	2135	709644
30	2206	709492
31	2270	707135
32	2340	707039
33	2409	706282
34	2474	704604
35	2546	704771
36	2617	704744
37	2693	706011
38	2760	704995
39	2824	703358
40	2893	702726
41	2964	702862
42	3041	704233
43	3105	702616
44	3168	700834
45	3238	700800
46	3307	700368
47	3384	701681
48	3452	701207
49	3521	700865
50	3592	700747
51	3654	699115
52	3720	698330
53	3782	696668
54	3852	696552
55	3914	695157
56	3980	694315
57	4042	693013
58	4109	692356
59	4179	692409
60	4249	692422
61	4325	693269
62	4397	693595
63	4458	692202
64	4529	692288
65	4592	691310
66	4661	691155
67	4742	692663
68	4803	691390
69	4867	690521
70	4943	691263
71	5012	691230
72	5101	693771
73	5168	693231
74	5238	693240
75	5306	692909
76	5380	693424
77	5452	693593
78	5520	693306
79	5589	693050
80	5661	693279
81	5732	693384
82	5800	692996
83	5864	692233
84	5930	691727
85	6000	691679
86	6066	691207
87	6136	691206
88	6201	690620
89	6270	690464
90	6342	690621
91	6412	690559
92	6488	691159
93	6552	690528
94	6622	690520
95	6689	690146
96	6761	690285
97	6826	689765
98	6894	689525
99	6959	689023
100	7025	688551
101	7095	688532
102	7183	690217
103	7251	690021
104	7316	689473
105	7391	689915
106	7461	689864
107	7537	690383
108	7616	691120
109	7686	691041
110	7756	691061
111	7828	691179
112	7886	690072
113	7955	689904
114	8026	689917
115	8093	689654
116	8162	689482
117	8235	689721
118	8305	689616
119	8377	689749
120	8448	689796
121	8520	689845
122	8598	690444
123	8667	690362
124	8736	690151
125	8809	690365
126	8884	690667
127	8949	690222
128	9019	690144
129	9092	690317
130	9156	689784
131	9225	689661
132	9303	690195
133	9386	691128
134	9464	691639
135	9527	691023
136	9600	691173
137	9669	691053
138	9749	691639
139	9828	692225
140	9894	691853
141	9960	691499
142	10033	691636
143	10105	691658
144	10173	691457
145	10255	692200
146	10319	691675
147	10393	691843
148	10458	691431
149	10524	691127
150	10598	691320
151	10667	691135
152	10735	690908
153	10811	691261
154	10881	691147
155	10947	690797
156	11012	690417
157	11092	690975
158	11158	690643
159	11229	690642
160	11296	690366
161	11366	690256
162	11438	690305
163	11505	690032
164	11573	689833
165	11641	689627
166	11705	689201
167	11774	689075
168	11841	688845
169	11912	688832
170	11979	688573
171	12050	688573
172	12120	688489
173	12185	688156
174	12247	687595
175	12314	687349
176	12382	687187
177	12452	687119
178	12519	686869
179	12589	686853
180	12658	686715
181	12725	686454
182	12799	686600
183	12869	686580
184	12941	686576
185	13012	686608
186	13081	686481
187	13149	686315
188	13222	686358
189	13295	686458
190	13367	686498
191	13437	686421
192	13509	686466
193	13580	686459
194	13649	686331
195	13724	686483
196	13804	686931
197	13876	686961
198	13935	686336
199	14004	686204
200	14067	685819
201	14140	685906
202	14214	686028
203	14278	685658
204	14351	685700
205	14426	685900
206	14506	686274
207	14572	686036
208	14649	686301
209	14713	685913
210	14783	685877
211	14850	685626
212	14911	685178
213	14977	684915
214	15039	684474
215	15108	684348
216	15172	684032
217	15244	684046
218	15311	683846
219	15378	683661
220	15446	683511
221	15515	683396
222	15583	683217
223	15657	683356
224	15725	683206
225	15794	683083
226	15857	682711
227	15922	682413
228	15987	682158
229	16051	681843
230	16117	681626
231	16183	681387
232	16254	681352
233	16328	681457
234	16395	681294
235	16458	680950
236	16524	680710
237	16598	680811
238	16670	680834
239	16745	680963
240	16817	681005
241	16887	680930
242	16954	680769
243	17031	680974
244	17097	680778
245	17167	680681
246	17234	680501
247	17299	680259
248	17362	679922
249	17426	679621
250	17490	679333
251	17553	679026
252	17620	678854
253	17682	678467
254	17743	678079
255	17807	677796
256	17867	677359
257	17945	677599
258	18011	677427
259	18072	677024
260	18151	677304
261	18220	677232
262	18297	677431
263	18376	677692
264	18447	677693
265	18514	677518
266	18582	677407
267	18645	677095
268	18719	677187
269	18787	677055
270	18857	676984
271	18930	677042
272	19005	677156
273	19071	676968
274	19136	676743
275	19198	676395
276	19265	676228
277	19333	676109
278	19405	676143
279	19466	675761
280	19535	675662
281	19602	675513
282	19671	675434
283	19741	675370
284	19806	675167
285	19874	675051
286	19944	674983
287	20014	674920
288	20090	675091
289	20157	674932
290	20228	674904
291	20292	674660
292	20363	674631
293	20435	674659
294	20526	675280
295	20596	675221
296	20668	675255
297	20744	675385
298	20813	675290
299	20880	675126
300	20945	674914
301	21005	674547
302	21077	674553
303	21165	675071
304	21236	675053
305	21305	674944
306	21377	674973
307	21454	675121
308	21520	674921
309	21581	674582
310	21651	674533
311	21711	674174
312	21784	674190
313	21854	674149
314	21915	673829
315	21985	673773
316	22058	673793
317	22126	673662
318	22189	673393
319	22257	673303
320	22325	673169
321	22391	672986
322	22457	672808
323	22513	672337
324	22582	672271
325	22650	672157
326	22714	671925
327	22785	671886
328	22857	671900
329	22922	671686
330	22992	671643
331	23058	671489
332	23129	671457
333	23195	671283
334	23258	671038
335	23320	670755
336	23384	670522
337	23460	670643
338	23529	670560
339	23589	670229
340	23653	669993
341	23735	670294
342	23805	670246
343	23885	670464
344	23958	670489
345	24024	670334
346	24094	670276
347	24161	670133
348	24226	669943
349	24294	669828
350	24363	669758
351	24429	669591
