policy_id,age,customer_months,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud
122576,37,189,2013-08-21,C,500/1000,1000,1465.71,5000000,455456,FEMALE,Masters,protective-serv,reading,not-in-family,62203,0,2014-12-22,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,S5,Riverwood,21,1,?,0,3,?,54930,6029,5752,44452,Nissan,Maxima,2000,0
937713,44,234,1998-01-04,B,250/500,500,821.24,0,591805,MALE,JD,craft-repair,polo,other-relative,31606,0,2015-02-18,Multi-vehicle Collision,Side Collision,Minor Damage,Other,S5,Springfield,4,3,?,2,1,YES,50680,5376,10156,37347,Honda,Civic,1996,0
680237,33,23,1996-02-06,B,500/1000,1000,1844.0,0,442490,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-43166,2015-01-18,Single Vehicle Collision,Side Collision,Total Loss,Police,S3,Northbend,0,1,?,2,1,NO,47829,4460,9247,33644,Jeep,Wrangler,2002,0
513080,42,210,2008-11-14,A,500/1000,500,1867.29,0,439408,MALE,JD,transport-moving,video-games,own-child,0,-49440,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,S3,Northbend,20,3,YES,2,2,YES,68862,11043,5955,53548,Suburu,Legacy,2003,1
192875,29,81,2002-01-08,A,100/300,1000,816.25,0,640575,FEMALE,MD,craft-repair,video-games,own-child,75296,-73689,2015-02-09,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S2,Northbend,9,3,YES,2,1,YES,59726,5617,10301,41550,Ford,F150,2004,0
690246,47,305,1999-08-14,C,100/300,500,1592.15,0,483650,FEMALE,JD,adm-clerical,sleeping,unmarried,11208,0,2015-01-14,Multi-vehicle Collision,Rear Collision,Major Damage,Police,S2,Springfield,11,4,YES,0,2,NO,57974,12975,6619,39006,Saab,93,1996,1
750108,48,308,2009-06-18,C,250/500,1000,1442.75,3000000,462503,MALE,PhD,exec-managerial,golf,other-relative,56711,-36076,2015-02-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S1,Arlington,17,3,?,0,0,NO,53693,5731,5685,42042,Toyota,Highlander,2013,0
237180,30,103,2008-01-02,C,500/1000,1000,1325.87,0,460080,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,72114,0,2015-03-02,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S3,Columbus,4,3,NO,2,2,YES,63344,11427,5429,43300,Suburu,Legacy,2012,0
300549,42,46,2010-11-12,A,100/300,2000,950.27,0,610944,FEMALE,MD,priv-house-serv,video-games,husband,44093,-66167,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Hillsdale,23,3,NO,1,3,?,74670,12864,20141,44657,Dodge,RAM,2004,1
532414,41,280,1998-11-10,B,250/500,1000,1314.43,6000000,455585,FEMALE,High School,sales,camping,other-relative,69374,-70440,2015-01-13,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,S1,Columbus,16,3,?,1,3,YES,55484,6128,12680,37788,Saab,92x,2007,0
780600,36,189,1994-10-16,A,100/300,500,1484.89,0,464708,FEMALE,JD,adm-clerical,hiking,own-child,45188,0,2015-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Columbus,6,1,?,2,0,YES,43875,4805,5044,35665,Suburu,Forrestor,2003,0
140320,25,80,2014-09-23,A,500/1000,500,825.53,0,455180,MALE,JD,farming-fishing,skydiving,husband,0,-52326,2015-03-09,Multi-vehicle Collision,Rear Collision,Major Damage,Police,S7,Arlington,16,3,YES,1,3,?,42809,3524,7271,28611,Ford,F150,2000,1
496283,37,201,2001-02-14,C,250/500,1000,1132.57,0,618340,MALE,High School,armed-forces,kayaking,own-child,0,0,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S2,Springfield,11,3,?,1,3,YES,47977,5550,5605,39698,Audi,A3,2015,0
530331,28,65,2001-09-13,C,100/300,1000,1174.28,0,467185,FEMALE,College,adm-clerical,exercise,wife,44720,-42330,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S3,Arlington,17,1,?,1,2,YES,41383,3648,7040,31615,Chevrolet,Silverado,2004,0
573487,55,412,1992-07-10,B,250/500,1000,1525.08,0,463023,FEMALE,College,protective-serv,exercise,other-relative,0,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,S4,Springfield,23,3,?,0,0,?,40231,3478,3373,32853,Volkswagen,Passat,2007,0
715821,36,8,2013-12-01,A,100/300,2000,1213.7,0,638541,MALE,Masters,sales,polo,own-child,0,0,2014-12-16,Multi-vehicle Collision,Rear Collision,Major Damage,Other,S7,Arlington,16,3,NO,1,3,YES,69140,17110,11528,45056,Ford,Escape,2006,1
367217,47,283,1997-02-06,A,500/1000,1000,1410.6,0,450047,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Other,S3,Riverwood,22,3,NO,1,3,?,92502,14813,15658,60400,BMW,X5,2009,0
917874,59,453,1992-09-28,C,100/300,2000,1132.53,0,458733,FEMALE,MD,transport-moving,movies,other-relative,57482,0,2015-02-17,Multi-vehicle Collision,Side Collision,Major Damage,Other,S3,Hillsdale,12,4,YES,0,0,NO,61983,10278,10614,41701,Accura,MDX,1999,1
1013199,39,186,2014-11-17,B,250/500,500,1432.24,0,491615,FEMALE,College,other-service,camping,wife,0,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,S1,Northbrook,10,3,NO,0,3,NO,54511,4955,10150,42848,BMW,M5,2011,0
864532,44,257,2014-11-28,A,100/300,500,1227.23,0,475409,FEMALE,MD,prof-specialty,golf,unmarried,56813,-62976,2015-01-25,Single Vehicle Collision,Rear Collision,Total Loss,Fire,S3,Hillsdale,11,1,NO,0,0,?,64704,10925,5560,46597,Nissan,Ultima,1997,0
117578,49,303,2004-06-23,A,100/300,2000,1302.07,0,630452,MALE,MD,armed-forces,polo,unmarried,0,0,2015-02-11,Multi-vehicle Collision,Side Collision,Major Damage,Other,S7,Northbrook,18,3,YES,2,1,YES,69138,13606,7224,46174,Ford,F150,1995,1
407344,26,21,2007-07-12,A,100/300,1000,1284.22,0,446733,MALE,PhD,craft-repair,skydiving,not-in-family,68711,0,2015-01-17,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,S1,Arlington,3,1,YES,1,2,NO,81345,15196,7503,55837,Chevrolet,Silverado,1995,0
592785,55,413,1996-10-13,B,500/1000,500,1413.89,0,620671,MALE,High School,tech-support,camping,wife,0,-50338,2015-01-29,Parked Car,?,Minor Damage,None,S1,Springfield,3,1,YES,1,3,?,2566,499,496,1728,Volkswagen,Passat,2000,0
178020,44,312,1996-05-30,B,500/1000,500,1298.82,0,471425,FEMALE,MD,prof-specialty,exercise,not-in-family,25345,0,2015-03-19,Single Vehicle Collision,Rear Collision,Total Loss,Other,S3,Hillsdale,0,1,?,2,3,?,68884,12319,6709,53011,Saab,92x,1998,1
510651,22,11,1994-11-22,B,500/1000,1000,1153.1,0,452744,FEMALE,PhD,tech-support,paintball,other-relative,52839,0,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,S1,Riverwood,13,3,NO,2,1,?,51021,5669,6167,39642,Nissan,Ultima,2011,0
374764,44,273,2002-03-08,A,250/500,500,1272.06,0,570397,MALE,PhD,adm-clerical,sleeping,unmarried,50078,0,2015-02-13,Parked Car,?,Minor Damage,None,S5,Northbend,0,1,NO,1,3,YES,1839,468,0,1370,Chevrolet,Tahoe,2011,0
152802,61,433,2003-04-17,C,100/300,500,1257.34,6000000,478343,MALE,PhD,craft-repair,dancing,unmarried,54283,-39925,2015-01-01,Single Vehicle Collision,Front Collision,Major Damage,Fire,S5,Springfield,0,1,YES,0,0,?,72730,14461,6853,47579,Ford,F150,2015,1
541044,44,284,1993-07-06,A,100/300,1000,1495.48,6000000,436543,MALE,College,priv-house-serv,camping,other-relative,0,0,2014-12-22,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,S2,Northbrook,21,3,NO,1,0,NO,61273,9195,9306,42336,BMW,X6,1999,0
348388,31,111,2011-08-21,C,250/500,500,1296.22,7000000,469787,FEMALE,High School,tech-support,paintball,not-in-family,42618,-92203,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Fire,S2,Springfield,12,1,YES,0,1,NO,86112,14352,14338,62348,Audi,A5,2009,1
407443,36,202,2012-07-03,A,500/1000,500,1536.74,0,612250,FEMALE,MD,tech-support,hiking,own-child,39590,-32901,2015-03-23,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S1,Northbend,8,1,?,1,3,YES,61021,6216,6152,50488,Toyota,Highlander,2000,0
950548,31,172,1997-01-11,A,500/1000,2000,1264.13,0,446854,FEMALE,PhD,priv-house-serv,movies,own-child,0,0,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Fire,S1,Arlington,10,1,?,0,1,?,51613,6130,5988,42869,Suburu,Impreza,2006,0
698640,35,151,2013-04-04,C,500/1000,2000,1427.55,0,578764,FEMALE,Masters,armed-forces,chess,own-child,0,0,2015-02-16,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,S2,Columbus,11,3,?,0,1,?,54082,6052,6302,44466,Ford,Fusion,2015,1
586085,36,189,1997-02-22,B,100/300,1000,1203.52,0,431126,FEMALE,Masters,exec-managerial,movies,wife,0,-39332,2014-12-21,Single Vehicle Collision,Rear Collision,Total Loss,Other,S3,Springfield,19,1,NO,0,0,?,76140,14753,7705,55228,Mercedes,C300,2000,0
